smiles,pka_values,functional_groups,mapping,pka_matrix
Cn1cnc2c(N)ncnc12,[4.1],"[{'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [3]}, {'type': 'Aniline', 'indices': [6]}]","{'4.1': {'type': 'Aniline', 'indices': [6]}}","[(6, 4.1)]"
OC(=O)C[Se]c1ccccc1[N+]([O-])=O,[3.31],"[{'type': 'COOH', 'indices': [0]}]","{'3.31': {'type': 'COOH', 'indices': [0]}}","[(0, 3.31)]"
Nc1ccccc1[S](O)(=O)=O,[2.42],"[{'type': 'SulfonicAcid', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}]","{'2.42': {'type': 'SulfonicAcid', 'indices': [8]}}","[(8, 2.42)]"
CSCCCN,[10.1],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'10.1': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 10.1)]"
CN(CC(O)=O)C(=O)CNC(=O)CNC(=O)CN,"[3.04, 7.92]","[{'type': 'COOH', 'indices': [4]}, {'type': 'PrimaryAmine', 'indices': [17]}]","{'3.04': {'type': 'COOH', 'indices': [4]}, '7.92': {'type': 'PrimaryAmine', 'indices': [17]}}","[(4, 3.04), (17, 7.92)]"
OC(=O)CSc1cccc(c1)C(F)(F)F,[3.19],"[{'type': 'COOH', 'indices': [0]}]","{'3.19': {'type': 'COOH', 'indices': [0]}}","[(0, 3.19)]"
OC(=O)CNc1cc(C(O)=O)c(NCC(O)=O)cc1C(O)=O,"[2.32, 3.32, 4.26, 6.94]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [9]}, {'type': 'COOH', 'indices': [15]}, {'type': 'COOH', 'indices': [20]}, {'type': 'SecondaryAmine', 'indices': [4]}, {'type': 'SecondaryAmine', 'indices': [12]}]","{'2.32': {'type': 'COOH', 'indices': [0]}, '3.32': {'type': 'COOH', 'indices': [9]}, '4.26': {'type': 'COOH', 'indices': [15]}, '6.94': {'type': 'COOH', 'indices': [20]}}","[(0, 2.32), (9, 3.32), (15, 4.26), (20, 6.94)]"
N[C@H](CO)Cc1ccc(O)cc1,"[8.94, 9.98]","[{'type': 'Phenol', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'8.94': {'type': 'Phenol', 'indices': [9]}, '9.98': {'type': 'PrimaryAmine', 'indices': [0]}}","[(9, 8.94), (0, 9.98)]"
Cn1c(C)nc2c(N)ncnc12,[4.51],"[{'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [4]}, {'type': 'Aniline', 'indices': [7]}]","{'4.51': {'type': 'Aniline', 'indices': [7]}}","[(7, 4.51)]"
Oc1ccc(Br)cc1,[9.15],"[{'type': 'Phenol', 'indices': [0]}]","{'9.15': {'type': 'Phenol', 'indices': [0]}}","[(0, 9.15)]"
COc1ccc(S)cc1,[6.78],"[{'type': 'Thiol', 'indices': [6]}]","{'6.78': {'type': 'Thiol', 'indices': [6]}}","[(6, 6.78)]"
Nc1ccc(cc1N)C(O)=O,"[3.69, 4.75]","[{'type': 'COOH', 'indices': [9]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'Aniline', 'indices': [7]}]","{'3.69': {'type': 'Aniline', 'indices': [0]}, '4.75': {'type': 'Aniline', 'indices': [7]}}","[(0, 3.69), (7, 4.75)]"
c1cnc2ccc3ncccc3c2c1,[4.0],"[{'type': 'Pyridine', 'indices': [2]}, {'type': 'Pyridine', 'indices': [7]}]","{'4.0': {'type': 'Pyridine', 'indices': [2]}}","[(2, 4.0)]"
Cc1ccc(C(O)=O)c(c1)C(O)=O,"[3.05, 5.47]","[{'type': 'COOH', 'indices': [6]}, {'type': 'COOH', 'indices': [11]}]","{'3.05': {'type': 'COOH', 'indices': [6]}, '5.47': {'type': 'COOH', 'indices': [11]}}","[(6, 3.05), (11, 5.47)]"
NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"[3.11, 8.17]","[{'type': 'COOH', 'indices': [37]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.11': {'type': 'COOH', 'indices': [37]}, '8.17': {'type': 'PrimaryAmine', 'indices': [0]}}","[(37, 3.11), (0, 8.17)]"
COc1ccc(OCC(O)=O)cc1,[3.21],"[{'type': 'COOH', 'indices': [9]}]","{'3.21': {'type': 'COOH', 'indices': [9]}}","[(9, 3.21)]"
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(O)=O,"[2.98, 7.38]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [16]}]","{'2.98': {'type': 'COOH', 'indices': [19]}, '7.38': {'type': 'PrimaryAmine', 'indices': [16]}}","[(19, 2.98), (16, 7.38)]"
OCC1=CC(=O)C(=C(CN2CCCCC2)O1)O,"[6.42, 9.24]","[{'type': 'Phenol', 'indices': [16]}, {'type': 'TertiaryAmine', 'indices': [9]}]","{'6.42': {'type': 'Phenol', 'indices': [16]}, '9.24': {'type': 'TertiaryAmine', 'indices': [9]}}","[(16, 6.42), (9, 9.24)]"
[nH]1ccnc1c2ccccn2,[5.47],"[{'type': 'Imidazole', 'indices': [3]}, {'type': 'Pyridine', 'indices': [10]}]","{'5.47': {'type': 'Pyridine', 'indices': [10]}}","[(10, 5.47)]"
OC(=O)CSCCCCCSCC(O)=O,"[3.4, 4.1]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [13]}]","{'3.4': {'type': 'COOH', 'indices': [0]}, '4.1': {'type': 'COOH', 'indices': [13]}}","[(0, 3.4), (13, 4.1)]"
NCCCC(O)=O,"[4.13, 10.52]","[{'type': 'COOH', 'indices': [5]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'4.13': {'type': 'COOH', 'indices': [5]}, '10.52': {'type': 'PrimaryAmine', 'indices': [0]}}","[(5, 4.13), (0, 10.52)]"
CCCC[Se]CC(O)=O,[3.82],"[{'type': 'COOH', 'indices': [7]}]","{'3.82': {'type': 'COOH', 'indices': [7]}}","[(7, 3.82)]"
Cc1cc(C)c(c(C)n1)[N+]([O-])=O,[3.47],"[{'type': 'Pyridine', 'indices': [8]}]","{'3.47': {'type': 'Pyridine', 'indices': [8]}}","[(8, 3.47)]"
Cc1ccc(O)cn1,"[5.44, 8.96]","[{'type': 'Phenol', 'indices': [5]}, {'type': 'Pyridine', 'indices': [7]}]","{'5.44': {'type': 'Pyridine', 'indices': [7]}, '8.96': {'type': 'Phenol', 'indices': [5]}}","[(7, 5.44), (5, 8.96)]"
O[C@@H]([C@H](O)C(O)=O)C(O)=O,"[2.85, 3.93]","[{'type': 'COOH', 'indices': [5]}, {'type': 'COOH', 'indices': [8]}]","{'2.85': {'type': 'COOH', 'indices': [5]}, '3.93': {'type': 'COOH', 'indices': [8]}}","[(5, 2.85), (8, 3.93)]"
Cn1cnc2cnc(N)nc12,[4.11],"[{'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [3]}, {'type': 'Aniline', 'indices': [8]}]","{'4.11': {'type': 'Aniline', 'indices': [8]}}","[(8, 4.11)]"
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,[3.72],"[{'type': 'Phenol', 'indices': [0]}]","{'3.72': {'type': 'Phenol', 'indices': [0]}}","[(0, 3.72)]"
C[C@@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.31, 7.83]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.31': {'type': 'COOH', 'indices': [19]}, '7.83': {'type': 'PrimaryAmine', 'indices': [2]}}","[(19, 3.31), (2, 7.83)]"
Oc1c2ccccc2ccc1[N+]([O-])=O,[5.73],"[{'type': 'Phenol', 'indices': [0]}]","{'5.73': {'type': 'Phenol', 'indices': [0]}}","[(0, 5.73)]"
C[C@H](N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"[3.22, 3.85, 7.96]","[{'type': 'COOH', 'indices': [9]}, {'type': 'COOH', 'indices': [22]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.22': {'type': 'COOH', 'indices': [9]}, '3.85': {'type': 'COOH', 'indices': [22]}, '7.96': {'type': 'PrimaryAmine', 'indices': [2]}}","[(9, 3.22), (22, 3.85), (2, 7.96)]"
CCCc1ccccc1O,[10.5],"[{'type': 'Phenol', 'indices': [9]}]","{'10.5': {'type': 'Phenol', 'indices': [9]}}","[(9, 10.5)]"
Cc1ccnc(N)n1,[3.89],"[{'type': 'Aniline', 'indices': [6]}]","{'3.89': {'type': 'Aniline', 'indices': [6]}}","[(6, 3.89)]"
c1ccncc1,[5.31],"[{'type': 'Pyridine', 'indices': [3]}]","{'5.31': {'type': 'Pyridine', 'indices': [3]}}","[(3, 5.31)]"
O[P](O)(=O)c1ccccc1,"[1.73, 6.92]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'1.73': {'type': 'Phosphate', 'indices': [0]}, '6.92': {'type': 'Phosphate', 'indices': [2]}}","[(0, 1.73), (2, 6.92)]"
CCc1cccnc1,[5.78],"[{'type': 'Pyridine', 'indices': [6]}]","{'5.78': {'type': 'Pyridine', 'indices': [6]}}","[(6, 5.78)]"
Cc1cc(C)nc(C)c1,[7.22],"[{'type': 'Pyridine', 'indices': [5]}]","{'7.22': {'type': 'Pyridine (guess)', 'indices': [5]}}","[(5, 7.22)]"
NC(=O)c1ccccc1O,[8.89],"[{'type': 'Phenol', 'indices': [9]}]","{'8.89': {'type': 'Phenol', 'indices': [9]}}","[(9, 8.89)]"
CCC(N)C(O)=O,"[2.47, 9.95]","[{'type': 'COOH', 'indices': [5]}, {'type': 'PrimaryAmine', 'indices': [3]}]","{'2.47': {'type': 'COOH', 'indices': [5]}, '9.95': {'type': 'PrimaryAmine', 'indices': [3]}}","[(5, 2.47), (3, 9.95)]"
OC(=O)CC(CC(O)=O)CC(O)=O,"[3.3, 4.1, 4.81]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [11]}]","{'3.3': {'type': 'COOH', 'indices': [0]}, '4.1': {'type': 'COOH', 'indices': [7]}, '4.81': {'type': 'COOH', 'indices': [11]}}","[(0, 3.3), (7, 4.1), (11, 4.81)]"
CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,"[3.34, 8.03]","[{'type': 'COOH', 'indices': [12]}, {'type': 'PrimaryAmine', 'indices': [10]}]","{'3.34': {'type': 'COOH', 'indices': [12]}, '8.03': {'type': 'PrimaryAmine', 'indices': [10]}}","[(12, 3.34), (10, 8.03)]"
NCCCSCCCN,"[9.63, 10.37]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'9.63': {'type': 'PrimaryAmine', 'indices': [0]}, '10.37': {'type': 'PrimaryAmine', 'indices': [8]}}","[(0, 9.63), (8, 10.37)]"
O[P](O)(=O)CBr,"[1.2, 6.24]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'1.2': {'type': 'Phosphate', 'indices': [0]}, '6.24': {'type': 'Phosphate', 'indices': [2]}}","[(0, 1.2), (2, 6.24)]"
NCCCC(C(O)=O)C(O)=O,"[2.52, 4.86, 10.45]","[{'type': 'COOH', 'indices': [6]}, {'type': 'COOH', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.52': {'type': 'COOH', 'indices': [6]}, '4.86': {'type': 'COOH', 'indices': [9]}, '10.45': {'type': 'PrimaryAmine', 'indices': [0]}}","[(6, 2.52), (9, 4.86), (0, 10.45)]"
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCC(=O)N3,[9.82],"[{'type': 'Phenol', 'indices': [16]}]","{'9.82': {'type': 'Phenol', 'indices': [16]}}","[(16, 9.82)]"
OC(=O)CC(O)(CC(O)=O)C(O)=O,"[2.87, 4.25, 5.49]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [8]}, {'type': 'COOH', 'indices': [11]}]","{'2.87': {'type': 'COOH', 'indices': [0]}, '4.25': {'type': 'COOH', 'indices': [8]}, '5.49': {'type': 'COOH', 'indices': [11]}}","[(0, 2.87), (8, 4.25), (11, 5.49)]"
CC[C@H](C)[C@H](N)C(=O)NO,"[7.25, 9.15]","[{'type': 'NHydroxylamine', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'7.25': {'type': 'PrimaryAmine', 'indices': [5]}, '9.15': {'type': 'NHydroxylamine', 'indices': [9]}}","[(5, 7.25), (9, 9.15)]"
N[C@@H](C(O)CC(O)=O)C(O)=O,"[2.09, 4.08, 9.06]","[{'type': 'COOH', 'indices': [6]}, {'type': 'COOH', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.09': {'type': 'COOH', 'indices': [6]}, '4.08': {'type': 'COOH', 'indices': [9]}, '9.06': {'type': 'PrimaryAmine', 'indices': [0]}}","[(6, 2.09), (9, 4.08), (0, 9.06)]"
O[P](O)(=O)Oc1ccccc1,"[0.9, 5.79]","[{'type': 'PhosphonicAcid', 'indices': [0]}, {'type': 'PhosphonicAcid', 'indices': [2]}]","{'0.9': {'type': 'PhosphonicAcid', 'indices': [0]}, '5.79': {'type': 'PhosphonicAcid', 'indices': [2]}}","[(0, 0.9), (2, 5.79)]"
CCOc1ccc(N)cc1,[5.25],"[{'type': 'Aniline', 'indices': [7]}]","{'5.25': {'type': 'Aniline', 'indices': [7]}}","[(7, 5.25)]"
Cc1c[nH]cn1,[7.63],"[{'type': 'Imidazole', 'indices': [5]}]","{'7.63': {'type': 'Imidazole', 'indices': [5]}}","[(5, 7.63)]"
OC(=O)CI,[3.09],"[{'type': 'COOH', 'indices': [0]}]","{'3.09': {'type': 'COOH', 'indices': [0]}}","[(0, 3.09)]"
C1CCNCC1,[11.12],"[{'type': 'SecondaryAmine', 'indices': [3]}]","{'11.12': {'type': 'SecondaryAmine', 'indices': [3]}}","[(3, 11.12)]"
Cn1c(N)nc2cncnc12,[4.62],"[{'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [4]}, {'type': 'Aniline', 'indices': [3]}]","{'4.62': {'type': 'Aniline', 'indices': [3]}}","[(3, 4.62)]"
OC(=O)C[Se]c1cccc(c1)[N+]([O-])=O,[3.44],"[{'type': 'COOH', 'indices': [0]}]","{'3.44': {'type': 'COOH', 'indices': [0]}}","[(0, 3.44)]"
ONC(=O)c1ccccc1O,"[7.37, 9.72]","[{'type': 'Phenol', 'indices': [10]}, {'type': 'NHydroxylamine', 'indices': [0]}]","{'7.37': {'type': 'NHydroxylamine', 'indices': [0]}, '9.72': {'type': 'Phenol', 'indices': [10]}}","[(0, 7.37), (10, 9.72)]"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(O)=O,"[2.74, 7.42, 9.81, 10.78]","[{'type': 'COOH', 'indices': [17]}, {'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [15]}]","{'2.74': {'type': 'COOH', 'indices': [17]}, '7.42': {'type': 'PrimaryAmine', 'indices': [0]}, '9.81': {'type': 'PrimaryAmine', 'indices': [6]}, '10.78': {'type': 'PrimaryAmine', 'indices': [15]}}","[(17, 2.74), (0, 7.42), (6, 9.81), (15, 10.78)]"
CCN(CC)C(=O)CCN,[9.44],"[{'type': 'PrimaryAmine', 'indices': [9]}]","{'9.44': {'type': 'PrimaryAmine', 'indices': [9]}}","[(9, 9.44)]"
OC(C(O)C(O)C(O)=O)C(O)C(O)=O,"[3.12, 3.75]","[{'type': 'COOH', 'indices': [7]}, {'type': 'COOH', 'indices': [12]}]","{'3.12': {'type': 'COOH', 'indices': [7]}, '3.75': {'type': 'COOH', 'indices': [12]}}","[(7, 3.12), (12, 3.75)]"
C=CCCc1ccccn1,[5.88],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.88': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.88)]"
OC[P](O)(O)=O,"[1.7, 7.11]","[{'type': 'Phosphate', 'indices': [3]}, {'type': 'Phosphate', 'indices': [4]}]","{'1.7': {'type': 'Phosphate', 'indices': [3]}, '7.11': {'type': 'Phosphate', 'indices': [4]}}","[(3, 1.7), (4, 7.11)]"
C[C@H](N)C(O)=O,"[2.51, 9.93]","[{'type': 'COOH', 'indices': [4]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'2.51': {'type': 'COOH', 'indices': [4]}, '9.93': {'type': 'PrimaryAmine', 'indices': [2]}}","[(4, 2.51), (2, 9.93)]"
OC(=O)CNC(=O)CNC(=O)CN(CC(O)=O)CC(O)=O,"[2.14, 3.55, 6.56]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [15]}, {'type': 'COOH', 'indices': [19]}, {'type': 'TertiaryAmine', 'indices': [12]}]","{'2.14': {'type': 'COOH', 'indices': [0]}, '3.55': {'type': 'COOH', 'indices': [15]}, '6.56': {'type': 'COOH', 'indices': [19]}}","[(0, 2.14), (15, 3.55), (19, 6.56)]"
CC(=O)NCC(=O)NCC(O)=O,[3.36],"[{'type': 'COOH', 'indices': [10]}]","{'3.36': {'type': 'COOH', 'indices': [10]}}","[(10, 3.36)]"
Nc1cc(ccc1O)[S](O)(=O)=O,"[4.12, 9.15]","[{'type': 'SulfonicAcid', 'indices': [9]}, {'type': 'Phenol', 'indices': [7]}, {'type': 'Aniline', 'indices': [0]}]","{'4.12': {'type': 'Aniline', 'indices': [0]}, '9.15': {'type': 'Phenol', 'indices': [7]}}","[(0, 4.12), (7, 9.15)]"
NC(C(O)C(O)C(O)CO)C(O)=O,"[2.2, 9.08]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.2': {'type': 'COOH', 'indices': [11]}, '9.08': {'type': 'PrimaryAmine', 'indices': [0]}}","[(11, 2.2), (0, 9.08)]"
OC(=O)c1ccc(Br)cc1,[4.0],"[{'type': 'COOH', 'indices': [0]}]","{'4.0': {'type': 'COOH', 'indices': [0]}}","[(0, 4.0)]"
[O-][N+](=O)c1ccc(S)cc1,[4.61],"[{'type': 'Thiol', 'indices': [7]}]","{'4.61': {'type': 'Thiol (guess)', 'indices': [7]}}","[(7, 4.61)]"
OC(=O)COc1ccc(Br)cc1,[3.13],"[{'type': 'COOH', 'indices': [0]}]","{'3.13': {'type': 'COOH', 'indices': [0]}}","[(0, 3.13)]"
Sc1cccc2ccccc12,[6.34],"[{'type': 'Thiol', 'indices': [0]}]","{'6.34': {'type': 'Thiol', 'indices': [0]}}","[(0, 6.34)]"
Oc1c2ccccc2ccc1[S](O)(=O)=O,[9.03],"[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'Phenol', 'indices': [0]}]","{'9.03': {'type': 'Phenol', 'indices': [0]}}","[(0, 9.03)]"
OC(=O)C1(CCCCC1)C(O)=O,"[3.3, 5.7]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}]","{'3.3': {'type': 'COOH', 'indices': [0]}, '5.7': {'type': 'COOH', 'indices': [10]}}","[(0, 3.3), (10, 5.7)]"
Oc1ccccc1F,[8.6],"[{'type': 'Phenol', 'indices': [0]}]","{'8.6': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.6)]"
OC(=O)CN(CC(O)=O)CC(=O)c1ccccc1,"[1.1, 1.8, 7.9]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'1.1': {'type': 'COOH', 'indices': [0]}, '1.8': {'type': 'COOH', 'indices': [7]}, '7.9': {'type': 'TertiaryAmine', 'indices': [4]}}","[(0, 1.1), (7, 1.8), (4, 7.9)]"
CCCn1ccnc1,[7.22],"[{'type': 'ImidazoleLike', 'indices': [3]}, {'type': 'ImidazoleLike', 'indices': [6]}]","{'7.22': {'type': 'ImidazoleLike', 'indices': [3]}}","[(3, 7.22)]"
OCc1cccnc1,[5.02],"[{'type': 'Pyridine', 'indices': [6]}]","{'5.02': {'type': 'Pyridine', 'indices': [6]}}","[(6, 5.02)]"
CCC(CO)(CO)N(CC(O)=O)CC(O)=O,"[3.01, 8.51]","[{'type': 'COOH', 'indices': [10]}, {'type': 'COOH', 'indices': [14]}, {'type': 'TertiaryAmine', 'indices': [7]}]","{'3.01': {'type': 'COOH', 'indices': [10]}, '8.51': {'type': 'TertiaryAmine', 'indices': [7]}}","[(10, 3.01), (7, 8.51)]"
Cc1ccccc1OCC(O)=O,[3.23],"[{'type': 'COOH', 'indices': [10]}]","{'3.23': {'type': 'COOH', 'indices': [10]}}","[(10, 3.23)]"
CC(C)(C)c1ccncc1,[6.1],"[{'type': 'Pyridine', 'indices': [7]}]","{'6.1': {'type': 'Pyridine', 'indices': [7]}}","[(7, 6.1)]"
OC(=O)Cc1ccncc1,"[3.0, 5.79]","[{'type': 'COOH', 'indices': [0]}, {'type': 'Pyridine', 'indices': [7]}]","{'3.0': {'type': 'Pyridine', 'indices': [7]}, '5.79': {'type': 'COOH', 'indices': [0]}}","[(7, 3.0), (0, 5.79)]"
CCN1C=CC(=O)C(=C1C)O,"[3.64, 9.81]","[{'type': 'Phenol', 'indices': [10]}, {'type': 'Pyridine', 'indices': [2]}]","{'3.64': {'type': 'Pyridine', 'indices': [2]}, '9.81': {'type': 'Phenol', 'indices': [10]}}","[(2, 3.64), (10, 9.81)]"
CC(=O)c1ccncc1,[3.6],"[{'type': 'Pyridine', 'indices': [6]}]","{'3.6': {'type': 'Pyridine', 'indices': [6]}}","[(6, 3.6)]"
OC(=O)C#CC(O)=O,"[0.7, 2.34]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [6]}]","{'0.7': {'type': 'COOH', 'indices': [0]}, '2.34': {'type': 'COOH', 'indices': [6]}}","[(0, 0.7), (6, 2.34)]"
C[Si](C)(C)c1ccc(cc1)C(O)=O,[4.2],"[{'type': 'COOH', 'indices': [11]}]","{'4.2': {'type': 'COOH', 'indices': [11]}}","[(11, 4.2)]"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCC(O)=O,"[3.46, 8.33]","[{'type': 'COOH', 'indices': [21]}, {'type': 'PrimaryAmine', 'indices': [3]}]","{'3.46': {'type': 'COOH', 'indices': [21]}, '8.33': {'type': 'PrimaryAmine', 'indices': [3]}}","[(21, 3.46), (3, 8.33)]"
NCCSCCc1ccccn1,"[5.12, 9.35]","[{'type': 'Pyridine', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'5.12': {'type': 'Pyridine', 'indices': [11]}, '9.35': {'type': 'PrimaryAmine', 'indices': [0]}}","[(11, 5.12), (0, 9.35)]"
C1CCNCCNCCNCCNCCNC1,"[7.85, 9.61, 10.38]","[{'type': 'SecondaryAmine', 'indices': [3]}, {'type': 'SecondaryAmine', 'indices': [6]}, {'type': 'SecondaryAmine', 'indices': [9]}, {'type': 'SecondaryAmine', 'indices': [12]}, {'type': 'SecondaryAmine', 'indices': [15]}]","{'7.85': {'type': 'SecondaryAmine', 'indices': [3]}, '9.61': {'type': 'SecondaryAmine', 'indices': [6]}, '10.38': {'type': 'SecondaryAmine', 'indices': [9]}}","[(3, 7.85), (6, 9.61), (9, 10.38)]"
NC(=O)CCc1ccncc1,[5.58],"[{'type': 'Pyridine', 'indices': [8]}]","{'5.58': {'type': 'Pyridine', 'indices': [8]}}","[(8, 5.58)]"
Nc1ccc(Br)cn1,[4.91],"[{'type': 'Pyridine', 'indices': [7]}, {'type': 'Aniline', 'indices': [0]}]","{'4.91': {'type': 'Aniline', 'indices': [0]}}","[(0, 4.91)]"
[O-][NH+]1CCCNCCNC(=O)C(CCc2ccccn2)C(=O)NCC1,"[5.22, 9.33]","[{'type': 'Pyridine', 'indices': [19]}, {'type': 'SecondaryAmine', 'indices': [1]}, {'type': 'SecondaryAmine', 'indices': [5]}]","{'5.22': {'type': 'Pyridine', 'indices': [19]}, '9.33': {'type': 'SecondaryAmine', 'indices': [1]}}","[(19, 5.22), (1, 9.33)]"
C[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,"[3.17, 9.03]","[{'type': 'COOH', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [9]}]","{'3.17': {'type': 'COOH', 'indices': [11]}, '9.03': {'type': 'SecondaryAmine', 'indices': [9]}}","[(11, 3.17), (9, 9.03)]"
c1ccc(cc1)c2cccnc2,[4.81],"[{'type': 'Pyridine', 'indices': [10]}]","{'4.81': {'type': 'Pyridine', 'indices': [10]}}","[(10, 4.81)]"
CC(C)(N)C(N)=O,[8.06],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'8.06': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 8.06)]"
O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,[3.27],"[{'type': 'COOH', 'indices': [11]}]","{'3.27': {'type': 'COOH', 'indices': [11]}}","[(11, 3.27)]"
O[P](O)(=O)c1ccc(cc1)[N+]([O-])=O,"[1.2, 6.58]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}]","{'1.2': {'type': 'Phosphate', 'indices': [0]}, '6.58': {'type': 'Phosphate', 'indices': [2]}}","[(0, 1.2), (2, 6.58)]"
CCCCC(N)C(=O)OC,[7.68],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'7.68': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 7.68)]"
OC(=O)c1cc(F)cc(F)c1,[3.52],"[{'type': 'COOH', 'indices': [0]}]","{'3.52': {'type': 'COOH', 'indices': [0]}}","[(0, 3.52)]"
OC(=O)CN(CCOc1ccccc1)CC(O)=O,[8.38],"[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [16]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'8.38': {'type': 'TertiaryAmine', 'indices': [4]}}","[(4, 8.38)]"
C[N+](C)(C)CCS,[7.88],"[{'type': 'Thiol', 'indices': [6]}]","{'7.88': {'type': 'Thiol', 'indices': [6]}}","[(6, 7.88)]"
CC(C)C[C@H](N)C(O)=O,"[2.32, 9.61]","[{'type': 'COOH', 'indices': [7]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'2.32': {'type': 'COOH', 'indices': [7]}, '9.61': {'type': 'PrimaryAmine', 'indices': [5]}}","[(7, 2.32), (5, 9.61)]"
CC(=O)CCC(O)=O,[4.49],"[{'type': 'COOH', 'indices': [6]}]","{'4.49': {'type': 'COOH', 'indices': [6]}}","[(6, 4.49)]"
OCC(O)=O,[3.73],"[{'type': 'COOH', 'indices': [3]}]","{'3.73': {'type': 'COOH', 'indices': [3]}}","[(3, 3.73)]"
Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,[8.07],"[{'type': 'SulfonicAcid', 'indices': [12]}, {'type': 'SulfonicAcid', 'indices': [16]}, {'type': 'Phenol', 'indices': [0]}]","{'8.07': {'type': 'Phenol', 'indices': [0]}}","[(0, 8.07)]"
CNCCSCCN,"[8.89, 9.86]","[{'type': 'SecondaryAmine', 'indices': [1]}, {'type': 'PrimaryAmine', 'indices': [7]}]","{'8.89': {'type': 'PrimaryAmine', 'indices': [7]}, '9.86': {'type': 'SecondaryAmine', 'indices': [1]}}","[(7, 8.89), (1, 9.86)]"
