smiles,true_pka_pairs,pred_pka_pairs
['OC(=O)[C@@H]1CC[C@H](CC1)C(O)=O'],"[(0, 5.179999828338623)]","[(0, 3.1219937801361084)]"
['OC(=O)C1=C(C(=O)NC(=O)N1)[N+]([O-])=O'],"[(0, 4.829999923706055)]","[(0, 3.1219937801361084)]"
['Oc1cccnc1C=O'],"[(0, 6.949999809265137), (5, 3.4000000953674316)]","[(0, 7.393199920654297), (5, 5.047758102416992)]"
['CCCC(CC(O)=O)CC(O)=O'],"[(6, 4.309999942779541), (10, 6.389999866485596)]","[(6, 3.3332297801971436), (10, 5.683941841125488)]"
['C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O'],"[(2, 8.199999809265137), (21, 3.1600000858306885)]","[(2, 8.014602661132812), (21, 2.915607213973999)]"
['CNCC(=C)CNC'],"[(1, 8.390000343322754), (6, 10.420000076293945)]","[(1, 9.039469718933105), (6, 11.114792823791504)]"
['CSCC[C@H](N)C(=O)N[C@H](CCSC)C(O)=O'],"[(5, 7.590000152587891), (15, 2.9800000190734863)]","[(5, 7.999350547790527), (15, 2.929360866546631)]"
['C=Cc1ccccn1'],"[(7, 5.010000228881836)]","[(7, 4.868984222412109)]"
['Cn1ccnc1'],"[(1, 7.199999809265137)]","[(1, 8.140121459960938)]"
['NC(C(O)=O)C(O)=O'],"[(0, 9.529999732971191), (3, 1.7999999523162842), (6, 3.130000114440918)]","[(0, 9.077239990234375), (3, 3.106121301651001), (6, 4.481684684753418)]"
['CCCSCCN'],"[(6, 9.449999809265137)]","[(6, 9.594643592834473)]"
['OC(=O)c1ccccn1'],"[(0, 1.190000057220459), (8, 5.449999809265137)]","[(0, 3.1219937801361084), (8, 4.648408889770508)]"
['Brc1cc2cccnc2c3ncccc13'],"[(7, 4.090000152587891)]","[(7, 4.848516464233398)]"
['C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O'],"[(2, 7.860000133514404), (20, 3.380000114440918)]","[(2, 8.014602661132812), (20, 3.6764767169952393)]"
['COc1ccc(O)cc1'],"[(6, 10.09000015258789)]","[(6, 9.116532325744629)]"
['CC[S](O)(=O)=O'],"[(3, 1.6799999475479126)]","[(3, 1.9909898042678833)]"
['OC(=O)c1cccc[n+]1[O-]'],"[(8, 3.309999942779541)]","[(8, 5.4976701736450195)]"
['N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O'],"[(0, 7.420000076293945)]","[(0, 8.04401969909668)]"
['OC(=O)c1ccc(F)cc1F'],"[(0, 3.440000057220459)]","[(0, 3.1219937801361084)]"
['CC(C)(C)SCCN'],"[(7, 9.34000015258789)]","[(7, 9.018962860107422)]"
['Nc1ccc2c(cccc2C(O)=O)c1'],"[(0, 4.550000190734863), (11, 2.880000114440918)]","[(0, 4.180457592010498), (11, 2.8278205394744873)]"
['COC(=O)CS'],"[(5, 7.989999771118164)]","[(5, 7.843707084655762)]"
['N[C@H]1CCCC[C@H]1C(O)=O'],"[(0, 10.539999961853027), (8, 3.490000009536743)]","[(0, 9.174646377563477), (8, 4.050104141235352)]"
['CCCSCC(O)=O'],"[(6, 3.700000047683716)]","[(6, 3.9830214977264404)]"
['OC(=O)C[Se]c1ccc(Br)cc1'],"[(0, 3.5899999141693115)]","[(0, 3.1219937801361084)]"
['Cc1cccc(O)c1'],"[(6, 10.100000381469727)]","[(6, 9.16538143157959)]"
['CC(N)CCN'],"[(2, 8.899999618530273), (5, 10.720000267028809)]","[(2, 8.1678466796875), (5, 8.818093299865723)]"
['CCSC[P](O)(O)=O'],"[(5, 1.7999999523162842), (6, 7.059999942779541)]","[(5, 5.017624855041504), (6, 5.017624855041504)]"
['OC(=O)CN(CCS)CC(O)=O'],"[(0, 2.140000104904175), (4, 10.789999961853027), (7, 8.170000076293945)]","[(0, 3.1219937801361084), (4, 8.00887680053711), (7, 9.213923454284668)]"
['N[C@@H](CO[P](O)(O)=O)C(O)=O'],"[(0, 9.6899995803833), (5, 0.699999988079071), (6, 5.730000019073486), (9, 2.0899999141693115)]","[(0, 8.238632202148438), (5, 4.922974586486816), (6, 4.922974586486816), (9, 3.0627760887145996)]"
['Cc1cccnc1'],"[(5, 5.730000019073486)]","[(5, 5.188022613525391)]"
['NCCCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 7.440000057220459), (10, 10.489999771118164), (24, 2.7699999809265137), (27, 4.199999809265137)]","[(0, 9.315186500549316), (10, 10.222199440002441), (24, 3.1882336139678955), (27, 4.108949661254883)]"
['Sc1ccccc1'],"[(0, 6.5)]","[(0, 7.043956756591797)]"
['OC(=O)CCBr'],"[(0, 3.890000104904175)]","[(0, 3.1219937801361084)]"
['ONC(/c1ccccc1)=C(N=O)\\c2ccccc2'],"[(0, 10.229999542236328)]","[(0, 8.26848030090332)]"
['OCCSCCc1ccccn1'],"[(11, 5.28000020980835)]","[(11, 5.196979522705078)]"
['CC(C)C[C@H](N)C(=O)N[C@H](C)C(O)=O'],"[(5, 8.170000076293945), (12, 2.9800000190734863)]","[(5, 7.94476318359375), (12, 2.7899367809295654)]"
['C[C@H](N[S](=O)(=O)c1ccc(C)cc1)C(O)=O'],"[(2, 12.050000190734863), (14, 3.390000104904175)]","[(2, 3.610703706741333), (14, 4.0499677658081055)]"
['Cn1cnc2ncnc(N)c12'],"[(9, 4.130000114440918)]","[(9, 3.782475233078003)]"
['CCSCC(O)=O'],"[(5, 3.619999885559082)]","[(5, 3.495673418045044)]"
['CC(=C/C(O)=O)/C(O)=O'],"[(4, 2.2799999713897705), (7, 5.739999771118164)]","[(4, 4.111705303192139), (7, 3.5172410011291504)]"
['Nc1ccc(cc1)[S](O)(=O)=O'],"[(0, 3.180000066757202)]","[(0, 4.131478309631348)]"
['OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O'],"[(0, 1.7000000476837158), (5, 7.909999847412109), (6, 11.140000343322754), (12, 9.880000114440918), (14, 5.400000095367432)]","[(0, 3.1219937801361084), (5, 8.158222198486328), (6, 9.402358055114746), (12, 8.87272834777832), (14, 3.3395326137542725)]"
['COc1cccc(S)c1'],"[(7, 6.380000114440918)]","[(7, 6.98488712310791)]"
['CCNC(=O)CN'],"[(6, 8.1899995803833)]","[(6, 8.595437049865723)]"
['CCCCCN'],"[(5, 10.65999984741211)]","[(5, 9.523653984069824)]"
['c1cc(ccn1)c2ccncc2'],"[(5, 4.670000076293945)]","[(5, 4.719669342041016)]"
['COc1cnccc1C=O'],"[(4, 4.449999809265137)]","[(4, 4.342525482177734)]"
['NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O'],"[(0, 7.420000076293945), (6, 9.9399995803833), (15, 10.899999618530273), (17, 2.9000000953674316)]","[(0, 9.315186500549316), (6, 8.788774490356445), (15, 9.356545448303223), (17, 3.20994234085083)]"
['OC(=O)C[N+]([O-])=O'],"[(0, 1.4900000095367432)]","[(0, 3.1219937801361084)]"
['Oc1cc(Br)cc(Br)c1'],"[(0, 8.0600004196167)]","[(0, 7.900999069213867)]"
['C[S](=O)(=O)NCc1ccccn1'],"[(4, 11.220000267028809), (11, 4.300000190734863)]","[(4, 4.5336456298828125), (11, 6.031587600708008)]"
['N[C@H]1CCC[C@H]1C(O)=O'],"[(0, 10.100000381469727), (7, 3.5399999618530273)]","[(0, 9.174647331237793), (7, 4.077508926391602)]"
['OC1=C(O)C(=O)C(=O)C1=O'],"[(0, 0.5699999928474426), (3, 1.850000023841858)]","[(0, 6.729117393493652), (3, 7.343754768371582)]"
['CCCC[C@H](N)C(=O)NO'],"[(5, 7.329999923706055), (9, 9.140000343322754)]","[(5, 8.334148406982422), (9, 9.566910743713379)]"
['CC(C)CC(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O'],"[(22, 2.5999999046325684), (35, 3.5), (53, 3.619999885559082), (60, 8.399999618530273), (73, 4.309999942779541), (106, 5.03000020980835)]","[(22, 4.745128631591797), (35, 3.332867383956909), (53, 4.040983200073242), (60, 8.676063537597656), (73, 3.3270986080169678), (106, 3.616546630859375)]"
['Cc1ncc(CO)c(CN)c1O'],"[(2, 3.380000114440918), (9, 10.600000381469727), (11, 8.050000190734863)]","[(2, 5.504866600036621), (9, 8.817171096801758), (11, 8.423558235168457)]"
['CCCN'],"[(3, 10.649999618530273)]","[(3, 9.523653984069824)]"
['Nc1c(ccc2ccccc12)C(O)=O'],"[(0, 4.960000038146973), (12, 1.0)]","[(0, 4.161639213562012), (12, 3.087162494659424)]"
['N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O'],"[(0, 7.230000019073486), (18, 9.989999771118164), (22, 3.25)]","[(0, 7.912046432495117), (18, 9.700545310974121), (22, 2.8704893589019775)]"
['OC(=O)c1[nH]ccc1'],"[(0, 4.369999885559082)]","[(0, 3.1219937801361084)]"
['OC(=O)C=O'],"[(0, 3.059999942779541)]","[(0, 3.1219937801361084)]"
['Nc1cc[nH]n1'],"[(0, 3.950000047683716)]","[(0, 4.180458068847656)]"
['NCC(=O)NC(CO)C(=O)NCC(O)=O'],"[(0, 7.989999771118164), (13, 3.2300000190734863)]","[(0, 8.398490905761719), (13, 3.2871711254119873)]"
['N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O'],"[(0, 7.46999979019165), (32, 3.390000104904175)]","[(0, 8.263134956359863), (32, 3.4186723232269287)]"
['CCOC(=O)C(N)CC(C)C'],"[(6, 7.650000095367432)]","[(6, 7.547175407409668)]"
['COc1ccc(cc1)C(=O)NO'],"[(11, 8.649999618530273)]","[(11, 9.392308235168457)]"
['OC(=O)CC(O)=O'],"[(0, 2.700000047683716), (5, 5.269999980926514)]","[(0, 3.1219937801361084), (5, 4.091606140136719)]"
['CC1CCNCC1'],"[(4, 11.079999923706055)]","[(4, 9.652593612670898)]"
['[nH]1cnc2cccnc12'],"[(7, 4.099999904632568)]","[(7, 5.050357818603516)]"
['NCC(=O)N1C[C@H](O)C[C@H]1C(O)=O'],"[(0, 8.369999885559082), (11, 2.799999952316284)]","[(0, 8.398490905761719), (11, 3.4228556156158447)]"
['Oc1ccccc1I'],"[(0, 8.510000228881836)]","[(0, 7.393199920654297)]"
['N[C@@H](CC(O)=O)C(O)=O'],"[(0, 9.710000038146973), (4, 2.049999952316284), (7, 3.799999952316284)]","[(0, 8.331185340881348), (4, 3.3062655925750732), (7, 3.8668346405029297)]"
['O=C1NCCNCCNCCNCCNC(=O)C1Cc2cccc3ccccc23'],"[(5, 7.699999809265137), (8, 8.989999771118164)]","[(5, 9.535016059875488), (8, 9.247336387634277)]"
['OC(=O)COc1ccccc1C#N'],"[(0, 2.9800000190734863)]","[(0, 3.1219937801361084)]"
['NCC(=O)NCC(=O)NCCC(O)=O'],"[(0, 7.889999866485596), (12, 4.039999961853027)]","[(0, 8.398490905761719), (12, 3.3602054119110107)]"
['CC(=O)OCC(O)=O'],"[(6, 2.809999942779541)]","[(6, 4.127926826477051)]"
['OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(O)ncnc23'],"[(9, 8.699999809265137), (14, 1.100000023841858)]","[(9, 6.93282413482666), (14, 7.041644096374512)]"
['C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(O)=O'],"[(2, 7.539999961853027), (11, 10.1899995803833), (18, 3.0399999618530273)]","[(2, 8.014602661132812), (11, 10.337706565856934), (18, 3.759558916091919)]"
['Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O'],"[(0, 6.730000019073486)]","[(0, 7.900999069213867)]"
['s1cccc1c2ccncc2'],"[(8, 5.480000019073486)]","[(8, 4.809103012084961)]"
['NC(=O)Cc1ccccn1'],"[(9, 4.340000152587891)]","[(9, 4.861589431762695)]"
['NC(=O)CCCCc1ccncc1'],"[(10, 5.920000076293945)]","[(10, 5.613947868347168)]"
['NCCCCCCCCN'],"[(0, 10.270000457763672), (9, 11.079999923706055)]","[(0, 9.315186500549316), (9, 9.523653984069824)]"
['OC(=O)c1ccncc1C(O)=O'],"[(0, 0.6000000238418579), (6, 4.900000095367432), (10, 2.700000047683716)]","[(0, 3.1219937801361084), (6, 3.493262767791748), (10, 3.608598470687866)]"
['OC(=O)c1cncc(c1)C(O)=O'],"[(0, 1.100000023841858), (5, 4.300000190734863), (10, 2.0999999046325684)]","[(0, 3.1219937801361084), (5, 4.708111763000488), (10, 3.6585962772369385)]"
